,Player,Image,Salary,Tm,Pos,Age,height,weight
0,Precious Achiuwa,0,"$2,711,280",Toronto Raptors,F,32.0,6-9 / 2.06,234 lbs. / 106.1 kg.
1,Jaylen Adams,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629121.png,"$849,325 ($855,838*)",,-,32.0,6-2 / 1.88,190 lbs. / 86.2 kg.
2,Steven Adams,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203500.png,"$17,073,171",Memphis Grizzlies,C,32.0,6-11 / 2.11,255 lbs. / 115.7 kg.
3,Bam Adebayo,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628389.png,"$28,103,500",Miami Heat,F-C,32.0,6-9 / 2.06,243 lbs. / 110.2 kg.
4,LaMarcus Aldridge,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200746.png,"$2,641,691",Brooklyn Nets,F-C,32.0,6-11 / 2.11,246 lbs. / 111.6 kg.
5,Ty-Shon Alexander,0,"$449,115 ($449,115*)",,-,32.0,6-4 / 1.93,195 lbs. / 88.5 kg.
6,Nickeil Alexander-Walker,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629638.png,"$3,261,480",New Orleans Pelicans,G,32.0,6-5 / 1.96,205 lbs. / 93 kg.
7,Grayson Allen,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628960.png,"$4,054,695",Milwaukee Bucks,G,32.0,6-4 / 1.93,205 lbs. / 93 kg.
8,Jarrett Allen,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628386.png,"$20,000,000",Cleveland Cavaliers,C,32.0,6-11 / 2.11,234 lbs. / 106.1 kg.
9,Al-Farouq Aminu,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202329.png,"$10,183,800",San Antonio Spurs,F,32.0,6-8 / 2.03,215 lbs. / 97.5 kg.
10,Kyle Anderson,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203937.png,"$9,937,150",Memphis Grizzlies,F,32.0,6-9 / 2.06,230 lbs. / 104.3 kg.
11,Giannis Antetokounmpo,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203507.png,"$39,344,900",Milwaukee Bucks,F-G,32.0,6-11 / 2.11,242 lbs. / 109.8 kg.
12,Kostas Antetokounmpo,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628961.png,"$605,933 ($608,226*)",,-,32.0,6-10 / 2.08,200 lbs. / 90.7 kg.
13,Thanasis Antetokounmpo,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203648.png,"$1,729,217",Milwaukee Bucks,F,32.0,6-6 / 1.98,215 lbs. / 97.5 kg.
14,Carmelo Anthony,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2546.png,"$2,641,691",Los Angeles Lakers,F,32.0,6-8 / 2.03,235 lbs. / 106.6 kg.
