,Abbreviations,Names,Image,Coach,Record,Loc,Playoff_App,Championships
1,ATL,Atlanta Hawks,https://cdn.nba.com/logos/nba/1610612737/primary/L/logo.svg,Nate McMillan,0 - 0,"Atlanta, Georgia",48,1
2,BKN,Brooklyn Nets,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg,Steve Nash,0 - 0,"Brooklyn, New York","30
  
    (23 NBA & 7 ABA)","2
  
    (0 NBA & 2 ABA)"
3,BOS,Boston Celtics,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg,Ime Udoka,0 - 0,"Boston, Massachusetts",59,17
4,CHA,Charlotte Hornets,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg,James Borrego,0 - 0,"Charlotte, North Carolina",10,0
5,CHI,Chicago Bulls,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg,Billy Donovan,0 - 0,"Chicago, Illinois",35,6
6,CLE,Cleveland Cavaliers,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg,JB Bickerstaff,0 - 0,"Cleveland, Ohio",22,1
7,DAL,Dallas Mavericks,https://cdn.nba.com/logos/nba/1610612742/primary/L/logo.svg,Jason Kidd,0 - 0,"Dallas, Texas",24,1
8,DEN,Denver Nuggets,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg,Michael Malone,0 - 0,"Denver, Colorado","37
  
    (28 NBA & 9 ABA)","0
  
    (0 NBA & 0 ABA)"
9,DET,Detroit Pistons,https://cdn.nba.com/logos/nba/1610612765/primary/L/logo.svg,Dwane Casey,0 - 0,"Detroit, Michigan",42,3
10,GSW,Golden State Warriors,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg,Steve Kerr,0 - 0,"San Francisco, California",35,6
11,HOU,Houston Rockets,https://cdn.nba.com/logos/nba/1610612745/primary/L/logo.svg,Stephen Silas,0 - 0,"Houston, Texas",34,2
12,IND,Indiana Pacers,https://cdn.nba.com/logos/nba/1610612754/primary/L/logo.svg,Rick Carlisle,0 - 0,"Indianapolis, Indiana","36
  
    (27 NBA & 9 ABA)","3
  
    (0 NBA & 3 ABA)"
13,LAC,Los Angeles Clippers,https://cdn.nba.com/logos/nba/1610612746/primary/L/logo.svg,Tyronn Lue,0 - 0,"Los Angeles, California",17,0
14,LAL,Los Angeles Lakers,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg,Frank Vogel,0 - 0,"Los Angeles, California",63,17
15,MEM,Memphis Grizzlies,https://cdn.nba.com/logos/nba/1610612763/primary/L/logo.svg,Taylor Jenkins,0 - 0,"Memphis, Tennessee",12,0
16,MIA,Miami Heat,https://cdn.nba.com/logos/nba/1610612748/primary/L/logo.svg,Erik Spoelstra,0 - 0,"Miami, Florida",23,3
17,MIL,Milwaukee Bucks,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg,Mike Budenholzer,0 - 0,"Milwaukee, Wisconsin",34,2
18,MIN,Minnesota Timberwolves,https://cdn.nba.com/logos/nba/1610612750/primary/L/logo.svg,Chris Finch,0 - 0,"Minneapolis, Minnesota",9,0
19,NOP,New Orleans Pelicans,https://cdn.nba.com/logos/nba/1610612740/primary/L/logo.svg,Willie Green,0 - 0,"New Orleans, Louisiana",7,0
20,NYK,New York Knicks,https://cdn.nba.com/logos/nba/1610612752/primary/L/logo.svg,Tom Thibodeau,0 - 0,"New York, New York",44,2
21,OKC,Oklahoma City Thunder,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg,Mark Daigneault,0 - 0,"Oklahoma City, Oklahoma",32,1
22,ORL,Orlando Magic,https://cdn.nba.com/logos/nba/1610612753/primary/L/logo.svg,Jamahl Mosley,0 - 0,"Orlando, Florida",16,0
23,PHI,Philadelphia 76ers,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg,Doc Rivers,0 - 0,"Philadelphia, Pennsylvania",52,3
24,PHX,Phoenix Suns,https://cdn.nba.com/logos/nba/1610612756/primary/L/logo.svg,Monty Williams,0 - 0,"Phoenix, Arizona",31,0
25,POR,Portland Trail Blazers,https://cdn.nba.com/logos/nba/1610612757/primary/L/logo.svg,Chauncey Billups,0 - 0,"Portland, Oregon",38,1
26,SAC,Sacramento Kings,https://cdn.nba.com/logos/nba/1610612758/primary/L/logo.svg,Luke Walton,0 - 0,"Sacramento, California",29,1
27,SAS,San Antonio Spurs,https://cdn.nba.com/logos/nba/1610612759/primary/L/logo.svg,Gregg Popovich,0 - 0,"San Antonio, Texas","47
  
    (39 NBA & 8 ABA)","5
  
    (5 NBA & 0 ABA)"
28,TOR,Toronto Raptors,https://cdn.nba.com/logos/nba/1610612761/primary/L/logo.svg,Nick Nurse,0 - 0,"Toronto, Canada",12,1
29,UTA,Utah Jazz,https://cdn.nba.com/logos/nba/1610612762/primary/L/logo.svg,Quin Snyder,0 - 0,"Salt Lake City, Utah",31,0
30,WAS,Washington Wizards,https://cdn.nba.com/logos/nba/1610612764/primary/L/logo.svg,Wes Unseld Jr,0 - 0,"Washington, District of Columbia",31,1
